stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
GAU2MAIR,GAUMAI,Mairie,Adresse non trouvée,50.41527417963267,2.5809192258980085,,,0,
MAZ2CI72,MAZCI7,Cité 7,40 Route Nationale 62670 Mazingarbe,50.46795459987749,2.756216742896219,,,0,
LIE1MAI2,LIECEA,Centre Administratif,21 Rue Francois Raspail 62800 Liévin,50.42119333825176,2.783507926596656,,,0,
SAL2GUIN,GUN2SA,Guines,300a Rue du 1er Mai Prolongée 62430 Sallaumines,50.42415950733448,2.8575664851163585,,,0,
AUC2CIME,AUCCIM,Cimetière,37 Rue de l'Egalité 62260 Auchel,50.5123805962285,2.46721577347309,,,0,
LBS2CHAP,LBSCHA,Achille Larue,1 Rue Achille Larue 62113 Labourse,50.500347537568985,2.6856488748097345,,,0,
BUL2MINO,BULMIN,Z.A.L Minopole,41 Rue Casimir Beugnet 62160 Bully-les-Mines,50.44904413765435,2.7194672835502995,,,0,
COC1ROGL,COCRO1,Cité Rogliano,68 Rue Raoul Briquet 62970 Courcelles-lès-Lens,50.41998980046479,3.010548505431735,,,0,
NOL114JU,NOL141,Rue du 14 Juillet,349 Rue du 14 Juillet 62221 Noyelles-sous-Lens,50.43270875530283,2.8684577169425007,,,0,
CAR1SPA3,CARSPA,Saint-Paul,11 Rue Saint Paul 62220 Carvin,50.47296779908552,2.920016428763313,,,0,
HIN1RDPA,HINRDM,Rue de Paradis,315 Rue Paradis 62232 Hinges,50.59161165453023,2.637455366161421,,,0,
BUL2LORR,BULLOR,Lorraine,25 Rue Montesquieu 62160 Bully-les-Mines,50.43977113183972,2.732280034727856,,,0,
BRU2BATN,BRUBAT,Batna,890 Rue Paul Daguercar 62700 Bruay-la-Buissière,50.49015565901554,2.524747954119659,,,0,
HAI2RHAI,HAIRH1,Léon Blum,982 Rue Léon Blum 62940 Haillicourt,50.47647710456503,2.565258837079054,,,0,
BRU1GAVR,BRUGAV,Gavroche,273a Rue Victor Hugo 62700 Bruay-la-Buissière,50.48296674181152,2.532159578079057,,,0,
HOU1DHAZ,HOUDHA,Désiré Haze,146 Rue Désiré Haze 62150 Houdain,50.4545241376637,2.527327146245724,,,0,
VEB1MARA,VEBMAR,Marais,460 Rue Leger Mayeux 62232 Vendin-lès-Béthune,50.54507796983172,2.6031617709731782,,,0,
CAL1ECJV,CALEC1,Ecole Vilar,18 Rue de Katowice 62470 Calonne-Ricouart,50.4863154461817,2.4854574140242938,,,0,
CAL1CALV,CALDE1,Auguste Delattre,34 Rue Auguste Delattre 62470 Calonne-Ricouart,50.49123266385512,2.4848672056935706,,,0,
DIV2BRIQ,DIVBRI,Briqueterie,27 Rue Jules Guesde 62460 Divion,50.47302953543655,2.498633279964909,,,0,
NOE2BEHA,NOEBEH,Béharelle,297 Rue Nationale 62290 Nœux-les-Mines,50.47434581012418,2.666586894114908,,,0,
CAM2BBOU,CAMBBO,Basse Boulogne,21 Boulevard Louis Lesage 62149 Cambrin,50.510509478183685,2.734089689134461,,,0,
DOV1PDLB,DOVPDL,Pont De la Bassée,20 Route de Lens 62138 Douvrin,50.52610885427691,2.803849970417636,,,0,
LIE1CIM2,LIECS1,Cimetière Sud,21 Rue Denfert Rochereau 62800 Liévin,50.41350672795059,2.7751828352401584,,,0,
PER1LVER,PERVE1,Les Verrières,67 Avenue de la Paix 62550 Pernes,50.48652587032765,2.4113069721639384,,,0,
MER210M1,MER10M,10 mars 1906,8 Rue Robespierre 62680 Méricourt,50.40622731883806,2.8793958197391376,,,0,
